,category,object,target_position,distractor_1_position,distractor_2_position,distractor_3_position,target_image_file_name,distractor_1_image_file_name,distractor_2_image_file_name,distractor_3_image_file_name,embedding_target,embedding_1,embedding_2,embedding_3,embeddings,distractor_image_files,str_numbers_to_select,distances,quantiles,jump_locations,jump_bounds,selected_distractors,percent_lower_te,percent_higher_te,target_new_name,distractor_1_new_names,distractor_2_new_names,distractor_3_new_names
0,landscape_element,tropical_karst,0,2,4,7,LAN-TRP-01.png,LAN-TRP-00.png,LAN-TRP-03.png,LAN-TRP-07.png,1.0,0.9257,0.44155,0.03915,"[1.0, 1.0, 0.979, 0.7658, 0.7101, 0.173, 0.1566, 0.0, 0.0, 0.0]","['LAN-TRP-01.png', 'LAN-TRP-02.png', 'LAN-TRP-00.png', 'LAN-TRP-09.png', 'LAN-TRP-03.png', 'LAN-TRP-08.png', 'LAN-TRP-04.png', 'LAN-TRP-07.png', 'LAN-TRP-05.png', 'LAN-TRP-06.png']","['01', '02', '00', '09', '03', '08', '04', '07', '05', '06']","[0.0, 0.02100000000000002, 0.21319999999999995, 0.05570000000000008, 0.5370999999999999, 0.016399999999999998, 0.1566, 0.0, 0.0]","[25, 50, 75]",['between 4 and 5'],"[(4, 5)]",['LAN-TRP-01.png' 'LAN-TRP-00.png' 'LAN-TRP-03.png' 'LAN-TRP-07.png'],0.0,100.0,LAN-TRP-T00.png,LAN-TRP-D01.png,LAN-TRP-D02.png,LAN-TRP-D03.png
1,item,sofa,0,1,5,7,ITE-SOF-03.png,ITE-SOF-02.png,ITE-SOF-05.png,ITE-SOF-07.png,1.0,0.98505,0.70715,0.303375,"[1.0, 0.9855, 0.9855, 0.9837, 0.7241, 0.6902, 0.6555, 0.186, 0.1556, 0.0]","['ITE-SOF-03.png', 'ITE-SOF-02.png', 'ITE-SOF-00.png', 'ITE-SOF-01.png', 'ITE-SOF-04.png', 'ITE-SOF-05.png', 'ITE-SOF-06.png', 'ITE-SOF-07.png', 'ITE-SOF-08.png', 'ITE-SOF-09.png']","['03', '02', '00', '01', '04', '05', '06', '07', '08', '09']","[0.014499999999999957, 0.0, 0.0018000000000000238, 0.25960000000000005, 0.03389999999999993, 0.034700000000000064, 0.4695, 0.03040000000000001, 0.1556]","[25, 50, 75]",['between 6 and 7'],"[(6, 7)]",['ITE-SOF-03.png' 'ITE-SOF-02.png' 'ITE-SOF-05.png' 'ITE-SOF-07.png'],0.9345794392523363,99.06542056074767,ITE-SOF-T00.png,ITE-SOF-D01.png,ITE-SOF-D02.png,ITE-SOF-D03.png
2,vehicle,passenger_train,0,2,4,7,VEH-PAS-00.png,VEH-PAS-02.png,VEH-PAS-04.png,VEH-PAS-09.png,1.0,0.8988750000000001,0.4707,0.1903,"[1.0, 0.9709, 0.9332, 0.7959, 0.5206, 0.4208, 0.2479, 0.1711, 0.1331, 0.0]","['VEH-PAS-00.png', 'VEH-PAS-01.png', 'VEH-PAS-02.png', 'VEH-PAS-03.png', 'VEH-PAS-04.png', 'VEH-PAS-05.png', 'VEH-PAS-06.png', 'VEH-PAS-09.png', 'VEH-PAS-08.png', 'VEH-PAS-07.png']","['00', '01', '02', '03', '04', '05', '06', '09', '08', '07']","[0.029100000000000015, 0.037699999999999956, 0.13729999999999998, 0.2753000000000001, 0.09979999999999994, 0.1729, 0.07680000000000001, 0.038000000000000006, 0.1331]","[25, 50, 75]",[],[],['VEH-PAS-00.png' 'VEH-PAS-02.png' 'VEH-PAS-04.png' 'VEH-PAS-09.png'],1.8691588785046727,98.13084112149532,VEH-PAS-T00.png,VEH-PAS-D01.png,VEH-PAS-D02.png,VEH-PAS-D03.png
3,vehicle,scooter,0,2,5,7,VEH-SCO-00.png,VEH-SCO-02.png,VEH-SCO-05.png,VEH-SCO-07.png,1.0,0.8041499999999999,0.7081,0.46817499999999995,"[1.0, 0.8617, 0.835, 0.7116, 0.7116, 0.7046, 0.5035, 0.4564, 0.0856, 0.0]","['VEH-SCO-00.png', 'VEH-SCO-01.png', 'VEH-SCO-02.png', 'VEH-SCO-03.png', 'VEH-SCO-04.png', 'VEH-SCO-05.png', 'VEH-SCO-06.png', 'VEH-SCO-07.png', 'VEH-SCO-09.png', 'VEH-SCO-08.png']","['00', '01', '02', '03', '04', '05', '06', '07', '09', '08']","[0.13829999999999998, 0.026700000000000057, 0.12339999999999995, 0.0, 0.007000000000000006, 0.20110000000000006, 0.047099999999999975, 0.37079999999999996, 0.0856]","[25, 50, 75]",['between 7 and 8'],"[(7, 8)]",['VEH-SCO-00.png' 'VEH-SCO-02.png' 'VEH-SCO-05.png' 'VEH-SCO-07.png'],2.803738317757009,97.19626168224299,VEH-SCO-T00.png,VEH-SCO-D01.png,VEH-SCO-D02.png,VEH-SCO-D03.png
4,item,lantern,0,2,4,7,ITE-LAN-00.png,ITE-LAN-02.png,ITE-LAN-04.png,ITE-LAN-07.png,1.0,0.874025,0.28785,0.17174999999999999,"[1.0, 0.9123, 0.8806, 0.8543, 0.288, 0.2877, 0.2568, 0.1434, 0.1433, 0.0]","['ITE-LAN-00.png', 'ITE-LAN-01.png', 'ITE-LAN-02.png', 'ITE-LAN-03.png', 'ITE-LAN-04.png', 'ITE-LAN-05.png', 'ITE-LAN-06.png', 'ITE-LAN-07.png', 'ITE-LAN-08.png', 'ITE-LAN-09.png']","['00', '01', '02', '03', '04', '05', '06', '07', '08', '09']","[0.0877, 0.03169999999999995, 0.0263000000000001, 0.5663, 0.00029999999999996696, 0.03090000000000004, 0.11339999999999997, 9.999999999998899e-05, 0.1433]","[25, 50, 75]",['between 3 and 4'],"[(3, 4)]",['ITE-LAN-00.png' 'ITE-LAN-02.png' 'ITE-LAN-04.png' 'ITE-LAN-07.png'],3.7383177570093453,96.26168224299066,ITE-LAN-T00.png,ITE-LAN-D01.png,ITE-LAN-D02.png,ITE-LAN-D03.png
5,item,teapot,0,2,4,7,ITE-TEP-00.png,ITE-TEP-01.png,ITE-TEP-02.png,ITE-TEP-09.png,1.0,0.9585,0.69925,0.132575,"[1.0, 0.9627, 0.9585, 0.9585, 0.9503, 0.4482, 0.3752, 0.0517, 0.021, 0.0]","['ITE-TEP-00.png', 'ITE-TEP-03.png', 'ITE-TEP-01.png', 'ITE-TEP-04.png', 'ITE-TEP-02.png', 'ITE-TEP-05.png', 'ITE-TEP-06.png', 'ITE-TEP-09.png', 'ITE-TEP-08.png', 'ITE-TEP-07.png']","['00', '03', '01', '04', '02', '05', '06', '09', '08', '07']","[0.0373, 0.0041999999999999815, 0.0, 0.008199999999999985, 0.5021, 0.07300000000000001, 0.32349999999999995, 0.0307, 0.021]","[25, 50, 75]","['between 4 and 5', 'between 6 and 7']","[(4, 5), (6, 7)]",['ITE-TEP-00.png' 'ITE-TEP-01.png' 'ITE-TEP-02.png' 'ITE-TEP-09.png'],4.672897196261682,95.32710280373831,ITE-TEP-T00.png,ITE-TEP-D01.png,ITE-TEP-D02.png,ITE-TEP-D03.png
6,plant,cactus,0,1,3,7,PLA-CAC-08.png,PLA-CAC-09.png,PLA-CAC-01.png,PLA-CAC-05.png,1.0,0.3698,0.278,0.132225,"[1.0, 0.9478, 0.3698, 0.3698, 0.3698, 0.1862, 0.186, 0.1143, 0.1143, 0.0]","['PLA-CAC-08.png', 'PLA-CAC-09.png', 'PLA-CAC-02.png', 'PLA-CAC-01.png', 'PLA-CAC-00.png', 'PLA-CAC-03.png', 'PLA-CAC-04.png', 'PLA-CAC-05.png', 'PLA-CAC-06.png', 'PLA-CAC-07.png']","['08', '09', '02', '01', '00', '03', '04', '05', '06', '07']","[0.052200000000000024, 0.578, 0.0, 0.0, 0.1836, 0.00020000000000000573, 0.0717, 0.0, 0.1143]","[25, 50, 75]",['between 1 and 2'],"[(1, 2)]",['PLA-CAC-08.png' 'PLA-CAC-09.png' 'PLA-CAC-01.png' 'PLA-CAC-05.png'],5.607476635514018,94.39252336448598,PLA-CAC-T00.png,PLA-CAC-D01.png,PLA-CAC-D02.png,PLA-CAC-D03.png
7,animal,butterfly,0,2,3,7,ANI-BUT-00.png,ANI-BUT-02.png,ANI-BUT-03.png,ANI-BUT-07.png,1.0,0.885975,0.8225,0.23152499999999998,"[1.0, 1.0, 0.886, 0.8859, 0.8859, 0.7591, 0.3576, 0.1895, 0.0598, 0.0]","['ANI-BUT-00.png', 'ANI-BUT-01.png', 'ANI-BUT-02.png', 'ANI-BUT-03.png', 'ANI-BUT-04.png', 'ANI-BUT-05.png', 'ANI-BUT-06.png', 'ANI-BUT-07.png', 'ANI-BUT-09.png', 'ANI-BUT-08.png']","['00', '01', '02', '03', '04', '05', '06', '07', '09', '08']","[0.0, 0.11399999999999999, 9.999999999998899e-05, 0.0, 0.12680000000000002, 0.4015, 0.16809999999999997, 0.1297, 0.0598]","[25, 50, 75]",['between 5 and 6'],"[(5, 6)]",['ANI-BUT-00.png' 'ANI-BUT-02.png' 'ANI-BUT-03.png' 'ANI-BUT-07.png'],6.5420560747663545,93.45794392523365,ANI-BUT-T00.png,ANI-BUT-D01.png,ANI-BUT-D02.png,ANI-BUT-D03.png
8,item,vase,0,1,5,7,ITE-VAS-00.png,ITE-VAS-01.png,ITE-VAS-05.png,ITE-VAS-06.png,1.0,0.98335,0.8411,0.4424,"[1.0, 0.9882, 0.9882, 0.9688, 0.8498, 0.8324, 0.5015, 0.4227, 0.4213, 0.0]","['ITE-VAS-00.png', 'ITE-VAS-01.png', 'ITE-VAS-02.png', 'ITE-VAS-03.png', 'ITE-VAS-04.png', 'ITE-VAS-05.png', 'ITE-VAS-08.png', 'ITE-VAS-06.png', 'ITE-VAS-07.png', 'ITE-VAS-09.png']","['00', '01', '02', '03', '04', '05', '08', '06', '07', '09']","[0.011800000000000033, 0.0, 0.019399999999999973, 0.119, 0.01739999999999997, 0.3309000000000001, 0.07879999999999993, 0.0014000000000000123, 0.4213]","[25, 50, 75]",['between 5 and 6'],"[(5, 6)]",['ITE-VAS-00.png' 'ITE-VAS-01.png' 'ITE-VAS-05.png' 'ITE-VAS-06.png'],7.476635514018691,92.5233644859813,ITE-VAS-T00.png,ITE-VAS-D01.png,ITE-VAS-D02.png,ITE-VAS-D03.png
9,vehicle,sports_car,0,2,4,7,VEH-SPO-05.png,VEH-SPO-00.png,VEH-SPO-03.png,VEH-SPO-07.png,1.0,0.7097,0.67795,0.09515,"[1.0, 0.7293, 0.7097, 0.7097, 0.6888, 0.6671, 0.104, 0.0922, 0.0536, 0.0]","['VEH-SPO-05.png', 'VEH-SPO-02.png', 'VEH-SPO-00.png', 'VEH-SPO-01.png', 'VEH-SPO-03.png', 'VEH-SPO-04.png', 'VEH-SPO-06.png', 'VEH-SPO-07.png', 'VEH-SPO-08.png', 'VEH-SPO-09.png']","['05', '02', '00', '01', '03', '04', '06', '07', '08', '09']","[0.27070000000000005, 0.01959999999999995, 0.0, 0.02090000000000003, 0.02169999999999994, 0.5631, 0.011799999999999991, 0.0386, 0.0536]","[25, 50, 75]",['between 5 and 6'],"[(5, 6)]",['VEH-SPO-05.png' 'VEH-SPO-00.png' 'VEH-SPO-03.png' 'VEH-SPO-07.png'],8.411214953271028,91.58878504672897,VEH-SPO-T00.png,VEH-SPO-D01.png,VEH-SPO-D02.png,VEH-SPO-D03.png
